Scotland PostCode District,Northern Ireland PostCode District
AB1,BT1
G22,BT10
AB10,BT11
AB11,BT12
AB12,BT13
AB13,BT14
AB14,BT15
AB15,BT16
AB16,BT17
AB2,BT18
AB21,BT19
AB22,BT2
AB23,BT20
AB24,BT21
AB25,BT22
AB3,BT23
AB30,BT24
AB31,BT25
AB32,BT26
AB33,BT27
AB34,BT28
AB35,BT29
AB36,BT3
AB37,BT30
AB38,BT31
AB39,BT32
AB4,BT33
AB41,BT34
AB42,BT35
AB43,BT36
AB44,BT37
AB45,BT38
AB5,BT39
AB51,BT4
AB52,BT40
AB53,BT41
AB54,BT42
AB55,BT43
AB56,BT44
AB9,BT45
CA6,BT46
DD1,BT47
DD10,BT48
DD11,BT49
DD2,BT5
DD3,BT51
DD4,BT52
DD5,BT53
DD6,BT54
DD7,BT55
DD8,BT56
DD9,BT57
DG1,BT58
DG10,BT6
DG11,BT60
DG12,BT61
DG13,BT62
DG14,BT63
DG16,BT64
DG2,BT65
DG3,BT66
DG4,BT67
DG5,BT68
DG6,BT69
DG7,BT7
DG8,BT70
DG9,BT71
EH1,BT74
EH10,BT75
EH11,BT76
EH12,BT77
EH13,BT78
EH14,BT79
EH15,BT8
EH16,BT80
EH17,BT81
EH18,BT82
EH19,BT9
EH2,BT92
EH20,BT93
EH21,BT94
EH22,BT99
EH23,
EH24,
EH25,
EH26,
EH27,
EH28,
EH29,
EH3,
EH30,
EH31,
EH32,
EH33,
EH34,
EH35,
EH37,
EH36,
EH38,
EH39,
EH4,
EH40,
EH41,
EH42,
EH43,
EH44,
EH45,
EH46,
EH47,
EH48,
EH49,
EH5,
EH51,
EH52,
EH53,
EH54,
EH55,
EH6,
EH7,
EH8,
EH9,
FK1,
FK10,
FK11,
FK12,
FK13,
FK14,
FK15,
FK16,
FK17,
FK18,
FK19,
FK2,
FK20,
FK21,
FK3,
FK4,
FK5,
FK6,
FK7,
FK8,
FK9,
G1,
G11,
G12,
G13,
G14,
G15,
G2,
G20,
G21,
G23,
G3,
G31,
G32,
G33,
G34,
G4,
G40,
G41,
G42,
G43,
G44,
G45,
G46,
G5,
G51,
G52,
G53,
G60,
G61,
G62,
G63,
G64,
G65,
G66,
G67,
G68,
G69,
G71,
G74,
G72,
G73,
G75,
G76,
G77,
G78,
G81,
G82,
G83,
G84,
HS1,
HS2,
HS3,
HS4,
HS5,
HS6,
HS7,
HS8,
HS9,
IV1,
IV10,
IV11,
IV12,
IV13,
IV14,
IV15,
IV16,
IV17,
IV18,
IV19,
IV2,
IV20,
IV21,
IV22,
IV23,
IV24,
IV25,
IV26,
IV27,
IV28,
IV3,
IV30,
IV31,
IV32,
IV33,
IV34,
IV35,
IV36,
IV4,
IV40,
IV41,
IV42,
IV43,
IV44,
IV45,
IV46,
IV47,
IV49,
IV5,
IV48,
IV51,
IV52,
IV53,
IV54,
IV55,
IV56,
IV6,
IV63,
IV7,
IV8,
IV9,
KA1,
KA10,
KA11,
KA12,
KA13,
KA14,
KA15,
KA16,
KA17,
KA18,
KA19,
KA2,
KA20,
KA21,
KA22,
KA23,
KA24,
KA25,
KA26,
KA27,
KA28,
KA29,
KA3,
KA30,
KA4,
KA5,
KA6,
KA7,
KA8,
KA9,
KW1,
KW10,
KW11,
KW12,
KW14,
KW13,
KW15,
KW16,
KW17,
KW2,
KW3,
KW5,
KW6,
KW8,
KW7,
KW9,
KY1,
KY10,
KY11,
KY12,
KY13,
KY14,
KY15,
KY16,
KY2,
KY3,
KY4,
KY5,
KY6,
KY7,
KY8,
KY9,
ML1,
ML10,
ML11,
ML12,
ML2,
ML3,
ML4,
ML5,
ML6,
ML7,
ML8,
ML9,
PA1,
PA10,
PA11,
PA12,
PA13,
PA14,
PA15,
PA16,
PA17,
PA18,
PA19,
PA2,
PA20,
PA21,
PA22,
PA23,
PA24,
PA25,
PA26,
PA27,
PA28,
PA29,
PA3,
PA30,
PA31,
PA32,
PA33,
PA34,
PA35,
PA36,
PA37,
PA38,
PA39,
PA4,
PA40,
PA42,
PA41,
PA43,
PA44,
PA45,
PA46,
PA47,
PA48,
PA49,
PA5,
PA6,
PA60,
PA63,
PA64,
PA65,
PA67,
PA61,
PA66,
PA7,
PA62,
PA69,
PA68,
PA70,
PA71,
PA72,
PA73,
PA75,
PA74,
PA77,
PA78,
PA8,
PA76,
PA80,
PA81,
PA82,
PA83,
PA84,
PA85,
PA86,
PA87,
PA88,
PA9,
PH1,
PH10,
PH11,
PH12,
PH13,
PH14,
PH15,
PH16,
PH17,
PH18,
PH2,
PH19,
PH20,
PH21,
PH22,
PH23,
PH24,
PH25,
PH26,
PH3,
PH31,
PH32,
PH33,
PH30,
PH34,
PH35,
PH36,
PH39,
PH38,
PH4,
PH37,
PH41,
PH40,
PH49,
PH44,
PH42,
PH43,
PH5,
PH50,
PH6,
PH7,
PH8,
PH9,
TD1,
TD10,
TD11,
TD12,
TD13,
TD14,
TD15,
TD2,
TD3,
TD4,
TD5,
TD6,
TD7,
TD8,
TD9,
ZE1,
ZE2,
ZE3,
